HID,SQ1,SQ2,SQ3,DQ3,DQ4,Q1,BA01_1,BA01,BA02,BA03,BA04,BA05,WT
1002,1,1,1,3,7,2,1,1,1,3,3,7,.842601061032965
1003,1,1,1,3,8,1,1,1,1,3,3,7,.842601061032965
1004,1,1,1,3,5,2,1,1,1,2,3,5,.82890726565291
1005,1,1,1,2,7,2,1,1,1,2,2,7,.82890726565291
1006,1,1,1,3,6,2,1,1,1,3,3,6,.842601061032965
1007,1,1,1,3,9,2,1,1,1,2,3,7,.82890726565291
1008,1,1,1,1,4,2,1,1,1,1,1,4,1.83635132670201
1009,1,1,1,3,6,2,1,1,1,2,3,6,.82890726565291
1010,1,1,1,2,5,2,1,1,1,2,2,5,.82890726565291
1011,1,1,1,2,7,2,1,1,1,2,2,7,.82890726565291
2001,1,1,1,3,9,2,1,1,1,4,3,7,2.14858203143546
2002,1,1,1,3,10,2,1,1,1,4,3,7,2.14858203143546
2003,1,1,1,3,11,1,1,1,1,4,3,7,2.14858203143546
2004,1,1,1,2,4,2,1,1,1,2,2,4,1.24336089847936
2005,1,1,1,3,5,2,1,1,1,3,3,5,1.26390159154944
2006,1,1,1,3,8,2,1,1,1,3,3,7,1.26390159154944
2007,1,1,1,3,8,2,1,1,1,3,3,7,1.26390159154944
2008,1,1,1,3,8,2,1,1,1,3,3,7,1.26390159154944
2009,1,1,1,3,9,2,1,1,1,3,3,7,1.26390159154944
2010,1,1,1,3,8,2,1,1,1,2,3,7,1.24336089847936
3001,1,1,1,3,7,2,1,1,1,4,3,7,1.77813685360176
3003,1,1,1,3,5,2,1,1,1,4,3,5,1.77813685360176
3005,1,1,1,3,5,2,1,1,1,3,3,5,1.04598752404092
3006,1,1,1,2,5,2,1,1,1,2,2,5,1.02898832977603
3007,1,1,1,3,6,2,1,1,1,4,3,6,1.77813685360176
3008,1,1,1,2,5,2,1,1,1,2,2,5,1.02898832977603
3009,1,1,1,3,7,2,1,1,1,4,3,7,1.77813685360176
3010,1,1,1,3,5,2,1,1,1,2,3,5,1.02898832977603
3011,1,1,1,1,5,2,1,1,1,1,1,5,2.27960854349214
3012,1,1,1,3,6,2,1,1,1,4,3,6,1.77813685360176
4002,1,1,1,1,4,2,1,1,1,1,1,4,3.37192097058213
4004,1,1,1,3,6,2,1,1,1,4,3,6,2.63016076261927
4005,1,1,1,3,7,2,1,1,1,4,3,7,2.63016076261927
4006,1,1,1,3,6,2,1,1,1,4,3,6,2.63016076261927
4007,1,1,1,3,4,2,1,1,1,3,3,4,1.54718987931053
4008,1,1,1,1,5,2,1,1,1,1,1,5,3.37192097058213
4010,1,1,1,3,6,2,1,1,1,2,3,6,1.52204523779371
4011,1,1,1,3,6,2,1,1,1,3,3,6,1.54718987931053
4012,1,1,1,2,4,2,1,1,1,2,2,4,1.52204523779371
4014,1,1,1,3,5,2,1,1,1,4,3,5,2.63016076261927
5002,1,1,1,3,8,2,1,1,1,4,3,7,1.90161857954633
5003,1,1,1,2,8,2,1,1,1,2,2,7,1.10044585267714
5004,1,1,1,3,8,2,1,1,1,2,3,7,1.10044585267714
5005,1,1,1,2,5,1,1,1,1,2,2,5,1.10044585267714
5006,1,1,1,2,3,1,1,1,1,2,2,3,1.10044585267714
5007,1,1,1,3,5,2,1,1,1,2,3,5,1.10044585267714
5008,1,1,1,3,6,2,1,1,1,3,3,6,1.11862554654376
5009,1,1,1,1,6,2,1,1,1,1,1,6,2.43791469234577
5010,1,1,1,3,10,1,1,1,1,4,3,7,1.90161857954633
5011,1,1,1,2,4,2,1,1,1,2,2,4,1.10044585267714
6001,1,1,1,3,9,2,1,1,1,3,3,7,.777226840780406
6004,1,1,1,2,5,1,1,1,1,2,2,5,.764595495041907
6008,1,1,1,1,7,2,1,1,1,1,1,7,1.69387579273375
6010,1,1,1,3,7,2,1,1,1,4,3,7,1.32125446760686
6014,1,1,1,3,8,2,1,1,1,4,3,7,1.32125446760686
6015,1,1,1,1,5,2,1,1,1,1,1,5,1.69387579273375
6018,1,1,1,3,9,2,1,1,1,4,3,7,1.32125446760686
6022,1,1,1,3,7,2,1,1,1,4,3,7,1.32125446760686
6024,1,1,1,2,9,2,1,1,1,2,2,7,.764595495041907
6027,1,1,1,3,11,2,1,1,1,3,3,7,.777226840780406
7001,1,1,1,2,4,2,1,1,1,2,2,4,1.3934216965717
7002,1,1,1,2,5,2,1,1,1,2,2,5,1.3934216965717
7005,1,1,1,3,8,2,1,1,1,3,3,7,1.41644143880541
7006,1,1,1,3,9,2,1,1,1,3,3,7,1.41644143880541
